State,CountyName,Tract_FIPS,Urban,TOTALPOP,PERCENT_LOWA_Pop,LOWA_POP,PERCENT_LOWI,LOWI,PERCENT_HUNV,HUNV,PERCENT_KIDS,KIDS,PERCENT_SENIORS,SENIORS
AL,Autauga,1001020200,Yes,1892,43.9,830,10,191,3.5,24,14,265,4.7,89
AL,Autauga,1001021100,No,2982,59.2,1766,12.7,380,6.6,75,16.8,502,7,210
AL,Baldwin,1003010600,Yes,3724,44.2,1645,10.3,382,4.8,62,14.8,552,4.5,167
AL,Barbour,1005950200,No,4342,11.9,515,2.7,81,2.3,28,3.7,159,2,85
AL,Barbour,1005950400,No,4068,28.2,1147,9.5,272,5.8,68,6.9,282,4.7,193
AL,Barbour,1005950900,Yes,4549,25.9,1177,6.7,304,2.9,52,8.6,391,2.7,124
AL,Bullock,1011952100,No,1705,84.1,1434,33.3,567,14.6,99,25.1,428,13,221
AL,Bullock,1011952400,No,1818,41.2,748,9.2,167,5.9,44,10,181,7.1,129
AL,Butler,1013953000,No,1693,42.7,724,10.9,181,1,6,12.8,216,6.9,117
AL,Calhoun,1015000400,Yes,2777,50.5,1402,14.6,422,5.2,60,11.8,328,7.9,219
AL,Chambers,1017954400,Yes,1455,59.3,863,11.9,179,11.6,64,14.1,206,9.2,134
AL,Choctaw,1023956700,No,3883,73.8,2865,23.5,910,13,201,21.5,835,10.1,393
AL,Clarke,1025957800,No,6076,15.2,922,5.9,356,2.2,51,4.6,280,1.7,105
AL,Clarke,1025958000,No,3160,32.2,1019,7.8,245,3.1,33,10.8,342,2.5,79
AL,Colbert,1033020100,Yes,3779,17.4,658,1.9,73,0.9,16,3.5,133,4.1,154
AL,Conecuh,1035960400,No,3580,35.5,1270,11.7,417,3.7,55,8.6,306,5.7,205
AL,Conecuh,1035960600,No,4925,17.6,868,4.2,205,1.8,36,4.4,219,3,146
AL,Covington,1039962900,No,1666,40.2,670,5.7,96,0.9,6,8.6,143,7.7,128
AL,Crenshaw,1041963400,No,1855,80,1485,23.1,437,11.7,89,20.9,387,12.4,230
AL,Crenshaw,1041963800,No,1784,68.6,1224,16.4,292,7.6,59,18.1,323,12.6,224
AL,Crenshaw,1041963900,No,1495,33.2,496,7.8,117,1.5,9,7.5,112,5.9,88
AL,Dale,1045020100,No,3847,20.8,800,4.3,167,1.2,19,5.4,207,3.2,122
AL,Dale,1045021000,Yes,1238,79.1,980,18.3,7,0,0,0.9,11,0.6,7
AL,Dallas,1047996500,Yes,4046,43.1,1744,19.1,772,11,170,13.7,555,6.5,262
AL,Dallas,1047996900,No,3157,75.6,2386,29.4,930,11.6,137,22.3,703,11.1,349
AL,Dallas,1047997000,No,1558,84.4,1314,30.4,435,16.2,99,20,312,18.7,291
AL,Escambia,1053969800,No,5848,15.8,926,3,174,1.5,36,3.6,210,2.6,149
AL,Escambia,1053970400,No,5211,21.8,1136,8.1,299,2.1,20,5.5,284,2.5,129
AL,Etowah,1055000200,Yes,3900,64.1,2499,15.8,602,4.6,70,15.2,594,12.7,494
AL,Etowah,1055000600,Yes,2143,41.6,891,7.5,159,1.6,14,10.7,230,7.4,159
AL,Etowah,1055000900,Yes,3223,37.4,1205,8.6,262,2.8,35,9.8,314,5.4,174
AL,Greene,1063060000,No,1900,73.7,1400,24.1,457,9.1,69,20.2,384,11.5,218
AL,Greene,1063060200,No,3123,44.5,1390,11.7,364,7.7,93,15.1,471,5,155
AL,Jefferson,1073000100,Yes,4744,69.3,3286,17.2,789,5.2,93,20.7,980,8.4,398
AL,Jefferson,1073000400,Yes,4289,60.6,2600,18,765,5.5,82,20.2,866,5.1,217
AL,Jefferson,1073000500,Yes,4406,52.4,2310,23.1,1009,19.6,316,18.5,815,7.6,335
AL,Jefferson,1073000700,Yes,3063,31.2,956,13.3,407,7.5,88,7.8,238,5.8,177
AL,Jefferson,1073000800,Yes,5387,50.6,2723,17.2,920,15.9,342,12.6,680,7.9,424
AL,Jefferson,1073001100,Yes,6175,89.3,5516,18.3,1093,16.1,368,26,1603,11.3,696
AL,Jefferson,1073001200,Yes,3603,27.8,1003,7.7,275,5.8,86,5.6,203,6.3,225
AL,Jefferson,1073001400,Yes,2915,100,2915,27.5,786,17.5,209,21.6,629,25.7,748
AL,Jefferson,1073001500,Yes,3987,100,3987,39.7,1581,25,386,28.5,1135,11.7,467
AL,Jefferson,1073001600,Yes,4485,100,4485,35.4,1431,19.3,266,22.6,1012,16.1,720
AL,Jefferson,1073002400,Yes,4306,27.8,1196,13.2,575,8.8,166,10.7,463,3.1,133
AL,Jefferson,1073002700,Yes,3617,83.8,3033,49.1,1351,55.3,653,16.1,582,7.8,282
AL,Jefferson,1073002900,Yes,2962,100,2962,45.7,1344,48.2,680,23.9,709,21.2,628
AL,Jefferson,1073003001,Yes,4448,100,4448,25.2,827,18.9,251,18.6,827,11.9,529
AL,Jefferson,1073003002,Yes,2793,100,2793,29.2,815,26.2,313,24.1,672,19.1,533
AL,Jefferson,1073003500,Yes,3393,93.8,3181,28.8,987,7.7,94,31.4,1066,10.7,363
AL,Jefferson,1073003802,Yes,6081,58.2,3537,9.6,583,7,152,17.7,1074,6,367
AL,Jefferson,1073003900,Yes,1969,40.1,789,14.9,289,18.1,147,12.3,243,4.5,90
AL,Jefferson,1073004000,Yes,5189,25.7,1333,6.5,339,6.7,136,6.9,361,2.9,149
AL,Jefferson,1073004200,Yes,3532,40.8,1442,15.6,461,10.6,144,11.1,393,4.7,167
AL,Jefferson,1073005000,Yes,3598,16.5,594,3,108,2.5,46,2.8,100,1.8,66
AL,Jefferson,1073005200,Yes,4452,20.5,913,4.4,198,2.4,39,4.3,193,3.8,171
AL,Jefferson,1073005500,Yes,2689,60.1,1617,25.5,662,17,178,19.6,526,7.7,207
AL,Jefferson,1073005701,Yes,2931,86.4,2532,20.7,637,11.2,126,22.9,670,11.5,338
AL,Jefferson,1073005702,Yes,4149,100,4149,24.1,1000,14.1,221,25.2,1045,16.4,680
AL,Jefferson,1073005908,Yes,4241,35,1486,6.5,270,2.3,43,8.7,367,5,212
AL,Jefferson,1073010100,Yes,2707,59.2,1602,23.3,629,17.1,188,18.8,509,7.9,213
AL,Jefferson,1073010302,Yes,5082,44,2237,21.2,1080,13.1,250,16.1,817,5,255
AL,Jefferson,1073010401,Yes,4302,18.5,797,3,129,1.7,28,4.5,195,2.7,116
AL,Jefferson,1073010500,Yes,2060,100,2060,20.3,416,10.9,83,28.8,594,13.7,283
AL,Jefferson,1073010602,Yes,7072,68.4,4835,19.5,1293,14.1,362,19.2,1354,10,704
AL,Jefferson,1073011210,Yes,3555,100,3555,25.2,893,13.8,176,36.1,1283,6,215
AL,Jefferson,1073011902,Yes,2222,81.5,1811,17,393,6.9,55,18.3,406,9.9,220
AL,Jefferson,1073011903,Yes,1115,100,1115,15.5,159,10.7,45,20.6,230,18.7,208
AL,Jefferson,1073012500,Yes,5029,100,5029,10,501,9.4,187,23.1,1161,18.4,926
AL,Jefferson,1073013002,Yes,2363,85.7,2025,30.8,713,14.7,130,26.2,620,15.9,376
AL,Jefferson,1073013100,Yes,5489,100,5489,38.9,2056,21.9,440,29.1,1597,16.9,927
AL,Jefferson,1073013300,Yes,4118,95.5,3932,22.5,888,20.5,303,25.6,1052,16.1,664
AL,Jefferson,1073013601,Yes,4385,100,4385,25.2,1105,17.5,294,26.8,1176,15.3,670
AL,Jefferson,1073013801,Yes,2537,34.8,883,7.8,201,3.6,35,7.9,201,6.7,171
AL,Jefferson,1073014105,Yes,3900,70.3,2742,13.1,486,3.3,48,22.3,870,6.4,250
AL,Lauderdale,1077010400,Yes,2807,18.9,530,3.8,98,1,13,3.6,102,4.6,128
AL,Lauderdale,1077010700,Yes,1989,44.5,885,17.2,344,6.2,52,10.5,209,7.3,144
AL,Lauderdale,1077010800,Yes,3810,14.3,546,2.1,79,0.5,8,3.1,116,2.7,104
AL,Lauderdale,1077011300,No,2230,42.6,949,5.5,121,1.9,17,9.8,219,6.3,141
AL,Lee,1081040400,Yes,6413,41.5,2662,8.4,535,1,25,8,516,5.8,372
AL,Lee,1081040700,Yes,4058,97.2,3946,64.6,718,8.5,45,1.3,52,0.1,2
AL,Lee,1081040800,Yes,3217,100,3217,80.7,2484,6.5,122,1.1,36,0.5,16
AL,Lee,1081040900,Yes,7855,67.1,5271,17.2,1341,4.5,164,13.7,1080,5.6,438
AL,Lee,1081041600,Yes,2886,68.9,1989,28.6,816,17.6,208,23.9,691,7.7,222
AL,Limestone,1083020500,Yes,2775,65.2,1810,14.5,355,8.2,89,15.8,438,15.3,423
AL,Limestone,1083021000,Yes,2256,36.3,819,10.3,223,4.5,39,9.4,213,3.6,81
