"zip","Total","city","state","lat","lon","TRACTCE","COUNTYFP"
"01001",167,"Agawam","MA",42.07061,-72.62029,"25013813209","25013"
"01002",319,"Amherst","MA",42.377651,-72.50323,"25015820500","25015"
"01003",6,"Amherst","MA",42.369562,-72.63599,"25015821500","25015"
"01005",21,"Barre","MA",42.412094,-72.10443,"25027722100","25027"
"01007",88,"Belchertown","MA",42.278424,-72.411,"25015820203","25015"
"01010",12,"Brimfield","MA",42.126038,-72.20552,"25013813802","25013"
"01011",9,"Chester","MA",42.271442,-73.01958,"25003932200","25003"
"01012",9,"Chesterfield","MA",42.390836,-72.84356,"25015822605","25015"
"01013",78,"Chicopee","MA",42.161492,-72.60316,"25013811000","25013"
"01020",183,"Chicopee","MA",42.175992,-72.57265,"25013810601","25013"
"01021",6,"Chicopee","MA",42.170731,-72.604842,"25013811000","25013"
"01022",21,"Chicopee","MA",42.196666,-72.55606,"25013811302","25013"
"01027",147,"Easthampton","MA",42.27279,-72.68677,"25015822402","25015"
"01028",227,"East Longmeadow","MA",42.066795,-72.5102,"25013813403","25013"
"01030",61,"Feeding Hills","MA",42.070774,-72.67248,"25013813206","25013"
"01032",6,"Goshen","MA",42.45792,-72.81551,"25015822606","25015"
"01033",13,"Granby","MA",42.254563,-72.51831,"25015820900","25015"
"01035",99,"Hadley","MA",42.35549,-72.5733,"25015821400","25015"
"01036",12,"Hampden","MA",42.064703,-72.41735,"25013813500","25013"
"01038",11,"Hatfield","MA",42.375155,-72.60832,"25015821500","25015"
"01039",6,"Haydenville","MA",42.381475,-72.69259,"25015822606","25015"
"01040",582,"Holyoke","MA",42.201891,-72.6242,"25013812002","25013"
"01041",6,"Holyoke","MA",42.170731,-72.604842,"25013811000","25013"
"01050",6,"Huntington","MA",42.290209,-72.87942,"25015822601","25015"
"01053",28,"Leeds","MA",42.353105,-72.70206,"25015821700","25015"
"01054",11,"Leverett","MA",42.479839,-72.49879,"25011040600","25011"
"01056",128,"Ludlow","MA",42.174893,-72.47068,"25013810412","25013"
"01057",18,"Monson","MA",42.089269,-72.317,"25013813702","25013"
"01059",6,"North Amherst","MA",42.369562,-72.63599,"25015821500","25015"
"01060",599,"Northampton","MA",42.324539,-72.63561,"25015821901","25015"
"01062",170,"Florence","MA",42.324232,-72.67915,"25015822200","25015"
"01069",68,"Palmer","MA",42.176401,-72.32646,"25013810200","25013"
"01071",6,"Russell","MA",42.165931,-72.85153,"25013813000","25013"
"01073",17,"Southampton","MA",42.223885,-72.72777,"25015822500","25015"
"01075",142,"South Hadley","MA",42.234891,-72.58243,"25015821100","25015"
"01077",46,"Southwick","MA",42.05283,-72.76966,"25013813101","25013"
"01080",18,"Three Rivers","MA",42.180563,-72.36518,"25013810300","25013"
"01082",103,"Ware","MA",42.270611,-72.26067,"25015820101","25015"
"01083",3,"Warren","MA",42.20468,-72.20259,"25027761100","25027"
"01085",442,"Westfield","MA",42.133642,-72.75029,"25013812800","25013"
"01088",6,"West Hatfield","MA",42.388831,-72.6321,"25015821500","25015"
"01089",384,"West Springfield","MA",42.112793,-72.64066,"25013812404","25013"
"01093",3,"Whately","MA",42.442673,-72.652511,"25011040800","25011"
"01095",158,"Wilbraham","MA",42.12531,-72.44057,"25013813601","25013"
"01096",12,"Williamsburg","MA",42.415236,-72.78271,"25015822606","25015"
"01098",3,"Worthington","MA",42.399054,-72.93871,"25015822700","25015"
"01101",12,"Springfield","MA",42.170731,-72.604842,"25013811000","25013"
"01102",39,"Springfield","MA",42.170731,-72.604842,"25013811000","25013"
"01103",279,"Springfield","MA",42.103294,-72.59112,"25013801101","25013"
"01104",558,"Springfield","MA",42.130343,-72.57338,"25013800300","25013"
"01105",126,"Springfield","MA",42.096644,-72.5798,"25013802000","25013"
"01106",248,"Longmeadow","MA",42.050395,-72.5712,"25013813304","25013"
"01107",442,"Springfield","MA",42.120193,-72.6061,"25013800600","25013"
"01108",95,"Springfield","MA",42.084094,-72.55523,"25013802601","25013"
"01109",162,"Springfield","MA",42.116277,-72.55031,"25013801402","25013"
"01118",140,"Springfield","MA",42.093144,-72.5291,"25013802500","25013"
"01119",47,"Springfield","MA",42.128442,-72.50932,"25013801602","25013"
"01128",21,"Springfield","MA",42.095344,-72.48857,"25013801604","25013"
"01129",53,"Springfield","MA",42.121031,-72.4896,"25013801603","25013"
"01151",27,"Indian Orchard","MA",42.153926,-72.50531,"25013800101","25013"
"01201",970,"Pittsfield","MA",42.45384,-73.254,"25003900100","25003"
"01202",2,"Pittsfield","MA",42.3929,-73.228483,"25003913100","25003"
"01220",45,"Adams","MA",42.619727,-73.11842,"25003922100","25003"
"01225",6,"Cheshire","MA",42.551731,-73.1653,"25003923100","25003"
"01226",42,"Dalton","MA",42.476575,-73.11547,"25003932300","25003"
"01230",180,"Great Barrington","MA",42.189715,-73.35249,"25003925100","25003"
"01235",6,"Hinsdale","MA",42.433661,-73.09278,"25003932300","25003"
"01236",6,"Housatonic","MA",42.266874,-73.36236,"25003924100","25003"
"01237",18,"Lanesboro","MA",42.557346,-73.24364,"25003911100","25003"
"01238",54,"Lee","MA",42.299263,-73.2327,"25003914100","25003"
"01240",87,"Lenox","MA",42.36237,-73.27683,"25003913100","25003"
"01242",3,"Lenox Dale","MA",42.336557,-73.24599,"25003913100","25003"
"01245",6,"Monterey","MA",42.180659,-73.20849,"25003933200","25003"
"01247",245,"North Adams","MA",42.696064,-73.10145,"25003921300","25003"
"01253",3,"Otis","MA",42.198403,-73.10205,"25003933400","25003"
"01255",5,"Sandisfield","MA",42.088973,-73.12444,"25003933400","25003"
"01256",3,"Savoy","MA",42.592506,-73.01123,"25003931300","25003"
"01257",6,"Sheffield","MA",42.102694,-73.36591,"25003926100","25003"
"01258",3,"South Egremont","MA",42.103122,-73.45734,"25003934300","25003"
"01262",36,"Stockbridge","MA",42.283216,-73.31423,"25003924100","25003"
"01267",85,"Williamstown","MA",42.689962,-73.22355,"25003920102","25003"
"01301",389,"Greenfield","MA",42.605524,-72.60098,"25011041200","25011"
"01302",9,"Greenfield","MA",42.522178,-72.624164,"25011040900","25011"
"01331",146,"Athol","MA",42.579931,-72.20836,"25027703300","25027"
"01337",9,"Bernardston","MA",42.678023,-72.55569,"25011040200","25011"
"01338",3,"Buckland","MA",42.569498,-72.802,"25011041502","25011"
"01339",9,"Charlemont","MA",42.626858,-72.87939,"25011040100","25011"
"01340",3,"Colrain","MA",42.673371,-72.73104,"25011040100","25011"
"01341",3,"Conway","MA",42.508313,-72.70403,"25011041501","25011"
"01342",3,"Deerfield","MA",42.542322,-72.6091,"25011040900","25011"
"01344",3,"Erving","MA",42.607051,-72.41396,"25011040400","25011"
"01351",5,"Montague","MA",42.534976,-72.52522,"25011040702","25011"
"01354",8,"Northfield","MA",42.522178,-72.624164,"25011040900","25011"
"01360",5,"Northfield","MA",42.682285,-72.45649,"25011040300","25011"
"01364",42,"Orange","MA",42.599614,-72.29263,"25011040501","25011"
"01366",3,"Petersham","MA",42.474718,-72.21226,"25027704200","25027"
"01370",45,"Shelburne Falls","MA",42.603447,-72.72754,"25011041502","25011"
"01373",64,"South Deerfield","MA",42.472734,-72.62452,"25011040900","25011"
